"","spacing","Mean.Area.Covered","Mean.Effort","True.Abundance","Mean.Abundance.Estimate","Abundance.Bias","Mean.Abundance.SE","Mean.Abundance.SD","True.Density","Density.Estimate","Density.Bias","Density.SE","Density.SD"
"1",6,12919.2708972179,1076.60590810149,254.32,255.322495887239,0.394186806872851,34.9351061080816,32.2011005514759,0.0393729971326266,0.0395282002927939,0.394186806872851,0.0054085397633749,0.0049852698949382
"2",8,9690.07976765069,807.506647304224,254.32,255.989003473767,0.656261196039149,40.0938159872081,40.0808988948673,0.0393729971326266,0.0396313868345257,0.656261196039152,0.00620719448686852,0.00620519470454824
"3",10,7748.42676532358,645.702230443632,254.32,254.757746944768,0.172124467115303,44.4697328413067,43.4427916167081,0.0393729971326266,0.0394407676941285,0.172124467115312,0.00688465973438755,0.00672567202641533
"4",12,6459.54896741299,538.295747284416,254.32,259.899132282636,2.19374499946374,50.0039896640019,53.8728613809671,0.0393729971326266,0.0402367402883626,2.19374499946374,0.00774145541703618,0.00834042158178361
"5",14,5533.71341710052,461.142784758377,254.32,262.360501780094,3.16156880311974,54.4729332251289,60.6321813997367,0.0393729971326266,0.040617801526825,3.16156880311975,0.00843332275746604,0.00938687757312336
"6",16,4841.38019056249,403.448349213541,254.32,258.712111008962,1.72700181226899,56.7040905292367,58.048422741075,0.0393729971326266,0.0400529695066517,1.727001812269,0.00877874329119156,0.00898686844187577
"7",18,4304.31908425434,358.693257021195,254.32,264.471868466214,3.99176960766508,61.6061517456583,75.2659080251557,0.0393729971326266,0.0409446764657937,3.99176960766508,0.0095376645015491,0.0116524236428869
"8",20,3877.56330794371,323.130275661976,254.32,261.382307287043,2.77693743592458,64.313605019218,69.1765150475708,0.0393729971326266,0.0404663606296481,2.77693743592459,0.00995682363168666,0.0107096835821528
"9",22,3521.79154116433,293.482628430361,254.32,267.978479237368,5.37058793542327,68.6784554951797,77.0049903144465,0.0393729971326266,0.041487558566446,5.37058793542327,0.0106325756184529,0.0119216627195999
"10",24,3230.0734027008,269.1727835584,254.32,267.680222032698,5.25331158882436,71.6341406777088,85.1725946256615,0.0393729971326266,0.0414413833538624,5.25331158882436,0.0110901652072255,0.0131861447152192
"11",26,2989.8323581561,249.152696513009,254.32,278.520880490897,9.5159171480406,78.8229535042027,104.327380078303,0.0393729971326266,0.0431196989184678,9.51591714804061,0.0122031138813547,0.0161516264417957
"12",28,2766.08283871184,230.506903225987,254.32,278.106845926352,9.35311651712481,79.5704574773512,89.9351284158289,0.0393729971326266,0.0430555994307254,9.3531165171248,0.0123188400208302,0.01392346474221
"13",30,2594.0772865933,216.173107216109,254.32,293.660841302295,15.4690316539379,87.6753812453501,123.773129809782,0.0393729971326266,0.0454636185221767,15.4690316539379,0.0135736180181469,0.0191621543138438
